'''بازی 0 0
نا 72 21 32 37 118 274 1408 2887 2971 5042
نا 73 16 21 26 51 98 291 418 428 431 434 445 458 476 478 486 495 512 1139 2935 2940 2985
نا 74 149
نا 75 141
نا 76 149
نا 77 145
نا 78 155
نا 79 166
نا 80 165
نا 81 149
نا 83 144
نا 84 145
نا 86 152
نا 87 144
نا 88 145
نا 89 144
نا 91 139
نا 92 136
نا 93 130
نا 94 135
نا 95 138
نا 96 134
نا 97 140 184
نا 98 128
نا 99 128
آن 0 5
آن 1 104 434 448 461 494 507 538 601
آن 2 91 94 124 209 221 287 387 440 455 501 533 547 610 831 884 892 908 961 973 1020 1142 1159 1239 1247
آن 3 85 102 116
آن 7 159 263 551 606 733 1046 1069 1074 1132 1248 1272 1283 1320 1390 1454 1460 1469 1762 1860 1924 1979 2108 2177 2197
آن 8 51
آن 9 380 432 504 756 763 874 892 1001 1375 1438 1458 1488 2005 2211 2217 2605 2616 2764
آن 10 66 134 200 358
آن 11 239 257
آن 13 2133 2279 2552 2553 2904 3299 4380 4394 4397 4679 4682 4944 5167 5446 5511 5538 5579 5741 5797 5843 5865 5936 6194 6258 6304 6465 6616 6629 7082 7121 7145 7171 7182 7233 7302 7329 7334 7352 7425 7505 7527 7531 7536 7554 7561 7582 7590 7628 7731 7836 8035 8081 8089 8202 8286 8397
آن 14 59 109 176 227 250 307
آن 17 289 478 541 601 679 705 758
آن 20 112 390 433 502 541 635 647 1010 1041 1258 1336 1480 1503
آن 21 274 312 349
آن 24 39
آن 25 17 68 78 191 228
آن 26 231 276 286 292 309 333 396 612 641 720 828 844 947 1100 1367 1401 1415 1517 1553 1613 1785 1818 1824 1856 1920 1971 2360 2374 2395 2440 2448 2466 2488 2522 2532
آن 27 156 207 316 328
آن 28 106
آن 29 134
آن 30 74 81 103 463 512 522 574 585 753 783 937 989 1033
آن 31 171 427 498 542 643
آن 32 61
آن 37 62 98 503 870 945 1257 1289 1401 1652 1733 1839 1878 2338 2487 2526 2561 2675 2929 3014 3593 3605 3617 3625 4001 4154 4530 4542 4639 4846 4902 5311 5879 5886 5898 5938 5942 5962 6021 6034 6107 6453 6721 6782 6789 6812 6827 6955 7087 7183 7195 7370 7828 7842 8045 8095 8248 8253 8494 8871 8983 9391 9872 10053 10119 10263 10706 11066 11069 11202 11424 11819
آن 40 903 954 1347 2548 2782 2800 2805 3095 3292 3305 3715 3744 4062 4116 4861 7117 7662 8024 8257 8270 8330 10200
آن 41 18 51 107 353 534 551 573 677 815
آن 42 134 284 452
آن 43 34 185 253 281 367 598 666 695 770 775 838
آن 44 517 599 687 692 1035 1607
آن 45 1020 1115 1221 1248 1423 1497 1804 1935 1963 2205 2463 2484 2568 2621 2649 2757 2925 2961 3181 3224 3411 3429 3563 3611 3706 3731 3945 4230 4476 4630 4671 6129 6208 6221 6318 6507 6568 6599
آن 48 14 62 75 197 316 341 347 356 364 367
آن 49 49
آن 51 55
آن 52 28 167 171 247 282 323 353 468 497 505 521 622 637
آن 53 456 465 480 597 602 660 699 748 851 926 1067 1089 1104 1152 1334 1377 1599 1657 1776 1917 1933 2031 2059 2072 2207 2233 2250 2257 2495 2559 2566 2638 2733 2969 3198 3221 3336 3343 3624 3637 3680 3709 3726 3774 3953 4079 4861 4880 4885 4980 4983 4989 4993 5119 5207 5264 5275 5310 5394 5403 5469 5572 5601 5605 5890 6068 6231 6257 6274 6306 6362 6533 6799 6917 6920 6929 6961 6995 7002 7058 7068 7098 7118 7188 7242 7249 7252 7569 7724 7800 7877 8065 8103 8120 8214
آن 54 622 660 759 844 965 1288 1332 1394 1455 1514 1556 1650 1706 1727 1733 1879 1888 1984 2014 2015 2039 2044 2184 2253 2355 2466 2935 2956 3304 3366 3493 4227 4249 4255 4442 4695 4782 4818 4827 5070 5224 5237 5654 5752 5838 6083 6136 6504 6759 7362
آن 55 18 108
آن 56 514 687 1090 1151 1255 1279 1373 1382 1395 1451 1502 1628 1714 1761 1867 1909 1963
آن 57 16 103 287 307 313 328 342 405 416 458 459 517 575 666 727 872 1331 1484 1496 1537 1557 1579
آن 58 106 131 245 257 395 531 880
آن 60 603 660 680 712 737 942 997 1098
آن 61 254 282 384 731 756 786 791 872 904 1071 1074
آن 63 329 1174 1260 1390 1406 1418 1498 1534 1690 1934 2050 2084 2399 2731 2806
آن 64 102 114
آن 65 261 266 403 518 693 713 883 926 931 965 997 1190 1212 1261 1422 1471 1486 1590 1606 1814 1877
آن 66 327 332 337 465 557 613 647 681 686 714 856 1110 1251 1429 1618 1733 1762 1834 1876 1881 1907 1917 1923 2216 2238 2287 2298 2421 2424 2436 2450 2466 2521 2535 2563 2586 2631 2637 2665 2686 2800 2837 2842 2860 2957 3126 3164 3436 3509 3525 3605 3645 3685 3842 3932 4025 4093 4103 4168 4271 4315 4384 4396 4417 4585 4594
آن 69 54 63 144 351 360 595 699 709 772 788 810 881 927 940 1007 1012 1436 1452 1617 1758 2604 2607 2615
آن 70 283 316
آن 71 181
آن 72 276 282 424 643 731 757 862 895 1989 2264 2353 2359 2364 2414 2506 2511 2515 2521 3227 3278 3312 3316 3320 3337 4164 4242 4366 4472 4502 4572 4583 4813 4852 5699
آن 73 265 294 432 624 953 1029 1037 1179 1213 1318 1360 1386 1415 1446 1599 1623 2185 2242 2513 2568 2901
آن 77 152 158
آن 80 207 303
آن 82 159
آن 90 156
آن 97 152
پیدا 0 6
پیدا 2 118 585
پیدا 7 267 835 1949
پیدا 13 5449
پیدا 20 1088
پیدا 37 976 2545 3704 5882 11190 11286
پیدا 42 280 296
پیدا 43 141
پیدا 44 669
پیدا 45 1826 1888 6237
پیدا 53 6006
پیدا 54 1171 1287 1454 1513 1705 6758
پیدا 56 766
پیدا 57 429
پیدا 65 876
پیدا 69 1330
پیدا 72 4825
پیدا 73 1040 3011
بر 0 7
بر 1 167 256 506 542 655
بر 2 490 786 829 1085
بر 7 641 656 747 1130 1727 2153 2399
بر 9 560 685 762 786 794 859 958 1479 1490 1554 2081 2137 2152 2200 2798 3016
بر 10 411
بر 12 292
بر 13 2371 3187 3601 3997 4191 4333 5392 5488 5519 5649 6156 6219 6230 6292 6306 7016 7058 7132 7161 7174 7269 7411 7525 7553 7700 7837 7918 8147 8159 8367
بر 14 213
بر 17 178 224 244 280 305 365 385 509 528 540 636
بر 20 936 1335 1868
بر 21 164
بر 24 434
بر 26 179 502 556 823 1063 1218 1461 1480 1575 1764 1984 2308 2324 2327 2495 2520 2561 2566
بر 30 82 557 904 951 979 1016
بر 31 598 637
بر 32 155
بر 37 139 178 587 773 795 899 956 1162 1359 1437 1535 1854 1865 1926 2179 2306 2540 2853 2888 2933 3463 3543 3580 4164 4185 4775 5056 5587 6028 6141 6393 7143 7303 8176 8188 8615 8760 9013 9587 9599 9886 10070 11004 11055 11609
بر 40 513 1369 1726 1767 1779 1826 2550 2742 3011 3342 3403 3430 3444 3712 4118 4220 5306 5829 5882 6716 7540 7670 7865 7978 8315 8537 8546 9393 9575
بر 41 356 385 522
بر 42 194 255 282 300 307 315 473
بر 43 916
بر 44 350 523 580 592 633 763 946 993 1378 1483 1540 1551 1584 1706 1768 2099 2169 2413 2428 2450
بر 45 1099 1192 1431 1640 1674 1880 1942 2651 2982 3160 3319 3570 4040 4110 4316 4323 4347 4376 4512 4522 6172 6245 6553
بر 48 274 308 353
بر 52 222 474 490 493 495 498 506 516 557 749
بر 53 471 535 601 649 684 997 1002 1271 1327 1441 1546 1602 1623 1952 1988 2060 2327 2489 2504 2637 2660 2691 2735 2742 2991 3398 3688 3885 3912 4013 4084 4214 4393 4451 4456 4858 4927 4997 5246 5362 5555 5651 5691 5724 5799 5898 5919 6132 6977 7089 7485 7648 7730 7737 8071 8085 8367 8750
بر 54 23 1185 1302 1315 1363 1499 2018 2077 2080 2119 2142 2256 2352 2368 2435 2650 3422 3447 3956 4171 4391 4751 4919 4947 5235 5370 5388 5640 5869 5876 5885 5909 6123
بر 55 160
بر 56 437 508 1292 1491 1797 1992 2018 2055 2272
بر 57 262 1369 1380 1462 1535 1777 1841 1846 1892 1990 2037 2063 2070
بر 58 84 93 145
بر 60 460 876 909
بر 61 315 849 900 930 941 949 967 975 985 1140
بر 63 1180 1191 1323 1470 1564 1983 2293 2306 2741
بر 65 732 882 1439 1861 2094
بر 66 492 684 700 1283 1327 1387 1462 1467 1732 2763 2784 2907 2969 2997 3229 3919 4005
بر 67 172
بر 69 1518 1574 2712
بر 70 182
بر 71 198
بر 72 133 401 675 1007 1964 2058 2115 2413 2429 3014 3314 3987 4324 4745 5232 5299 5734 5740 5784 5920
بر 73 910 959 1001 1012 1028 1036 1234 1310 1520 1562 1628 1758 1873 1894 2007 2065 2246 2329 2604 2755 2910
بر 74 3 39 79 92 169 173
بر 80 188 238 269
بر 89 179
اساس 0 8
اساس 1 257
اساس 2 830
اساس 9 2799
اساس 13 6231 7059 7919 8160
اساس 17 510
اساس 26 283 1481 2403
اساس 27 417
اساس 30 83
اساس 32 156
اساس 37 555 4375 10470
اساس 40 218 222 592 596 1780 1827 2771 2780 2799 2804 2908 3242 3283 3404 3406 3445 5830 7372 7541 7545 7599 7633 7844 7979 9731
اساس 44 524 578 581 947 994 1484 1537 1541 1707 1748 2170
اساس 45 1413 1432 1446 1464 1475 1553 1714 1721 1732 1738 1755 1800 1818 3357 3489 3495 3506 3552 3575 3817 3824 3909
اساس 53 1603 3913 4085 5692 5725 5899 8751
اساس 54 2257
اساس 55 145
اساس 56 1492
اساس 57 1778
اساس 60 461
اساس 61 901
اساس 63 1192 1471
اساس 65 1260 1468
اساس 66 685 1101 1109 1153 1222 1328 1416
اساس 69 1519
اساس 72 2059 5785
اساس 73 2010 2605 2756
فکر 0 9 16 25 61
فکر 37 4614 4736
فکر 40 2482
فکر 44 701
فکر 53 7106
فکر 56 686 2019
فکر 60 569
تمرکز 0 10
تمرکز 40 3203
انس 0 11
انس 7 135
انس 40 2431
انس 44 606
انس 52 601
انس 53 3836 3843 9201
انس 56 1723
انجا 0 12
انجا 2 65 399 766 926 948 1032
انجا 7 1734
انجا 9 556
انجا 13 5640
انجا 14 195
انجا 17 71
انجا 20 347 1260
انجا 26 1458
انجا 30 339
انجا 37 30 9595
انجا 40 7204
انجا 42 277
انجا 43 816 827 900
انجا 45 2444 2805 2883 3178 3349 3967 4026 4095 5862 6474
انجا 53 835 2519 2784 4076 5540 5589 6039 6192
انجا 54 1603 4352
انجا 56 681 1154
انجا 61 25
انجا 63 2401
انجا 66 2250 2317 2666
انجا 69 235
انجا 72 3404
می‌گیرد 0 13
می‌گیرد 7 1228 1267 1342
می‌گیرد 13 3589 5568 6293
می‌گیرد 17 104
می‌گیرد 29 227
می‌گیرد 37 6690
می‌گیرد 40 4067 9098
می‌گیرد 43 795 828
می‌گیرد 44 563 1586
می‌گیرد 45 1100 3854 4348
می‌گیرد 52 154
می‌گیرد 54 2768 4512 4876
می‌گیرد 58 94
می‌گیرد 61 409
می‌گیرد 64 236
می‌گیرد 65 1475
می‌گیرد 66 1300 1919 2101 4124
می‌گیرد 69 119 790 938
می‌گیرد 72 5759
می‌تو 0 17
می‌تو 7 2091 2514
می‌تو 13 5600 6433 6884 6981 7197 8041
می‌تو 14 218
می‌تو 26 624 1968
می‌تو 27 146
می‌تو 37 609 4000 7153
می‌تو 40 8483 8534 8549 10204
می‌تو 41 75 318 719 736
می‌تو 44 812 2316
می‌تو 45 2527 6530
می‌تو 52 130
می‌تو 53 2228 6102
می‌تو 54 1981 2111
می‌تو 56 741 1750
می‌تو 57 1498
می‌تو 61 383 452 512 535 586 633
می‌تو 63 1950
می‌تو 65 130 304 488 1329 1523
می‌تو 66 2295 3704
می‌تو 69 223 853 973 1676 1726 1748
می‌تو 72 3712
موارد 0 18
موارد 2 52 85 665 850
موارد 9 109
موارد 23 3
موارد 39 19
موارد 40 200 9579 9619 9932
موارد 45 1097 1428 2870 4393
موارد 53 2302
موارد 54 974
موارد 57 527
موارد 65 1488
موارد 66 2406 3911 4480
موارد 69 199 792
موارد 72 128
موارد 73 108
زیر 0 19
زیر 1 174
زیر 2 1063
زیر 7 298 566 744
زیر 9 723 749 2617 2759 2765
زیر 10 459
زیر 13 5985
زیر 21 365
زیر 23 4
زیر 26 1087 1333 1904
زیر 29 120
زیر 30 1052
زیر 37 9117
زیر 39 20
زیر 40 2654 4873 6797 7988 8885 9381
زیر 44 2069 2186
زیر 45 1098
زیر 48 235
زیر 53 1872 2303 3013 4071 5550
زیر 54 538
زیر 57 2147
زیر 61 89
زیر 63 1572
زیر 64 22
زیر 66 2283 2407 2597 3912
زیر 69 67 643
زیر 72 1604 5717
زیر 73 2626
زیر 90 182
اشاره 0 20
اشاره 7 2529
اشاره 13 6445 6894 8050 8190
اشاره 14 222
اشاره 17 680
اشاره 21 350
اشاره 23 5
اشاره 34 114
اشاره 39 21
اشاره 40 8493 10216
اشاره 41 758
اشاره 43 88 122
اشاره 44 920 933 2339
اشاره 45 3658 6335
اشاره 50 14
اشاره 53 6989
اشاره 54 1485
اشاره 56 827 912 1272 1398
اشاره 57 71 105 1425
اشاره 61 375 757
اشاره 63 1954
اشاره 65 142 318
اشاره 69 16 180 1380 2628
اشاره 72 3732
کرد 0 21
کرد 1 28 57 320 564 579 695
کرد 7 268 500 546 794 836 938 2530 2677
کرد 9 920 943 1048 1102 1112 1121 1623 2023 2086 2179
کرد 10 423
کرد 12 243
کرد 13 19 24 1220 1835 1849 1850 1864 1876 1891 1894 1908 1923 2030 2046 2047 2055 2070 2172 2195 2197 2230 2275 2288 2305 2309 2318 2374 2521 2603 2649 2685 2984 3000 3271 3287 3291 3327 3358 3385 3398 3436 3454 3466 3594 3600 3795 4000 4003 4006 4013 4018 4098 4104 4178 4253 4326 4349 4385 4392 4580 4690 4715 4727 4850 4900 4932 5120 5126 5133 5194 5295 5376 5410 5420 5427 5479 5498 5584 5591 5617 5639 5811 5845 5852 5855 5861 5887 5905 5928 5930 5958 6006 6018 6024 6035 6044 6051 6057 6066 6073 6083 6133 6191 6202 6235 6245 6262 6277 6290 6329 6377 6396 6415 6446 6447 6456 6510 6535 6567 6620 6628 6822 6838 6854 6895 6988 6992 7011 7028 7056 7242 7271 7281 7297 7351 7360 7392 7401 7415 7421 7442 7664 7781 7902 7906 7916 7971 7974 7993 8008 8019 8060 8102 8114 8126 8156 8183 8205 8211 8218 8267 8319 8326 8376 8409 8495 8597 8645
کرد 14 2 42 43 84 96 103 144 169 173 302 346 357 371 375 405
کرد 15 2 8 42
کرد 17 283 303
کرد 20 110 477 504 688 836 996 1036 1193 1375 1421
کرد 26 717 1970 2517
کرد 27 375
کرد 30 344 1039
کرد 31 443 454 734
کرد 34 154
کرد 37 52 1112 1174 1200 1262 1516 1777 2278 2323 2589 2916 3275 3705 4088 4458 4578 4848 5303 5467 5493 5594 5609 5651 5726 5883 5907 6151 6249 6434 6452 6462 6783 6927 7020 7033 7327 7520 7987 8044 8213 8640 9148 9467 9625 9835 10012 10201 10216 10250 11191 11287
کرد 40 2483 2497 3061 8203 8494 9416 10258
کرد 41 759
کرد 42 83 97 259
کرد 43 163 436 544 705
کرد 44 1363 1905
کرد 45 1042 1055 1145 1478 1889 2423 2587 3406 4768 6533
کرد 53 546 1005 2230 4863 5130 5235 5324 5396 7154 7157
کرد 54 1391 1399 1435 2733 2748 2776 2811 3124 3416 3429 3440 3453 3543 3751 3780 4300 4347 4863 6188 7587
کرد 56 500 791 1273 1587 2066 2313
کرد 58 59
کرد 60 902
کرد 61 386 457 540 605 1049
کرد 63 1955 2730
کرد 65 143 319 658 1990
کرد 66 479 1465 1510 1817 2302 3039 3062 3079
کرد 69 232 856 976 1381 1744 1755 2016
کرد 72 613 689 2120 2279 3733 3993 4040 4895 5966 6279 6377
کرد 73 1104 1271 1338 1601 1736
پنتاگو 0 22
شطرنج 0 23
شطرنج 7 1372
شطرنج 46 32 36
شطرنج 54 5527
نرد 0 24
بکر 0 26
بکر 56 68 2116
بکر 66 2394
بکر 70 209
دیدار 0 27
دیدار 37 2408 8992
دیدار 45 3191 4190
دیدار 54 1722 3501 5245 5285
دیدار 58 590
قاتل 0 28
هشت‌پا 0 29
ورق‌باز 0 30
بیس 0 31
بیس 13 5975 5997
بیس 21 361
بیس 28 286
بیس 37 10077 12122
بیس 40 7856 10442
بیس 44 870 1832 2802
بیس 45 888 933 6628
بیس 53 4714 4827 8268
بیس 58 196
بیس 65 1278 1768
بیس 69 1576
بیس 70 340
بیس 72 3259
بیس 73 2551
سوال 0 32
سوال 56 943
نقطه 0 33
نقطه 1 482
نقطه 7 1073 1222
نقطه 10 198
نقطه 26 1651
نقطه 30 256
نقطه 37 220 6455 6532 6737 7146
نقطه 40 1353
نقطه 41 608
نقطه 52 21 317 322 378
نقطه 64 203 211 231
نقطه 66 604 612 2603
نقطه 72 6161
باز 0 34 36 47 55
باز 13 5422
باز 17 498
باز 20 1562
باز 26 1111 1224 1791 2498
باز 30 885
باز 31 325 689
باز 37 281 670 5991 9837 11460 11886
باز 40 3128 3746
باز 41 341
باز 43 332 673 811 814
باز 45 4396
باز 46 35
باز 48 205
باز 53 1215
باز 54 5513
باز 55 280
باز 57 45 278 1327 1424
باز 65 569 936
باز 66 1586 2937
باز 72 4321
باز 73 315 1211
مافیا 0 35
گروه 0 37
گروه 7 2127
گروه 9 1408 1469 1540
گروه 13 4095 4343 4362 4938 5960 5963 5969 5981 5983 5986 5990 6013 6033 6086 6130 6171 6287 6315 6332 6424 6493 6604 6705 6722 6738 6743 6840 6856 6861 6871 6875 7970 8600 8647
گروه 20 1333
گروه 37 1578 1815 2205 2906 3003 3035 3062 3286 3818 3829 3833 3866 3893 3934 3998 4020 4044 4051 4058 4275 4438 4671 4696 4714 4763 4844 4886 4933 4964 5077 5329 5334 5369 6091 6711 7403 7524 7542 7889 7911 8490 9283 9293 10548
گروه 40 4035 4065 7741 7752 7957 10132 10428 10441 10506
گروه 43 192
گروه 44 859 865 867 1824 1827 1829 2795 2801 2804 2871
گروه 45 1961 3400 6261 6627 6634 6702
گروه 53 341 6707
گروه 54 2242 3706
گروه 56 597 618 623 980 1209 1215 1262 1326 1453 1532
گروه 57 762 1245 1254 1291 1317 1333 1367 1408 1415
گروه 58 36 822
گروه 65 700 1567
گروه 72 508 3328 3392 4972 5271
گروه 73 1715
سودوکو 0 38
جدول 0 39
جدول 53 8746
کل 0 40
کل 1 164 329
کل 2 74 1181
کل 8 70
کل 13 5146 5957 6853
کل 22 61
کل 27 217
کل 30 584
کل 37 4947 5429 9407 10198 11166 11180
کل 40 1436 1760 1762 3644 3978 6199 8286 9391 9554
کل 41 220 691
کل 43 84 120
کل 44 335 540 1750
کل 45 6233
کل 53 100 124 1237 2216 8624 8637 8658 8667 8676
کل 54 5192
کل 58 261
کل 63 735 1065 2087
کل 65 554 962 1154 1753
کل 66 1201 1268 2191
کل 69 1779
کل 72 3658 5721 5725 5827
متقاطع 0 41
مکعب 0 42
مکعب 63 1421 2292 2305 2325
روبیک 0 43
چامپ 0 44
تخته 0 46
تخته 53 2527 2535 4563
تخته 69 768
ویدیو 0 48
ویدیو 54 5088
رایانه 0 49
رایانه 53 8175
رایانه 60 213
آتار 0 50
== 0 51 53
== 1 151 154 241 243 311 314 355 359 588 591 691 694 699 701
== 2 80 83 254 261 295 298 361 364 584 587 819 824 1041 1044 1124 1127 1219 1223 1259 1263
== 4 49 51 124 126
== 5 125 127
== 7 130 132 206 212 457 460 751 754 907 909 980 983 1032 1034 1443 1447 1543 1545 1599 1601 1724 1726 1752 1754 1823 1825 1832 1834 2049 2054 2451 2453 2547 2549 2707 2709 2711 2713
== 8 95 97
== 9 690 692 1587 1589 2318 2321 2510 2512 2542 2544 2711 2713 2879 2882 2908 2910 2912 2914
== 10 210 212 430 435 467 469 614 618 732 734
== 11 316 318
== 12 163 165 203 205 219 221 283 285 381 383
== 13 2306 2310 5105 5107 5627 5631 5830 5832 7355 7358 7488 7492 7900 7904 8110 8113 8439 8441
== 14 343 347 398 400
== 15 28 31
== 16 118 120
== 17 105 107 336 338 410 414 458 461 577 581 647 653 736 740 785 788 800 802 804 806 847 850
== 18 162 164 187 189 227 229
== 20 168 170 265 272 735 738 1174 1177 1564 1566 1755 1758
== 21 279 281 352 354 392 394 395 397 543 546 564 566
== 22 243 248 765 767 806 808 810 813
== 24 71 74 392 396 399 401
== 25 213 215
== 26 211 214 302 304 456 458 587 590 687 692 817 819 1043 1046 1281 1283 1294 1297 1338 1341 2540 2545 2547 2571 2574
== 27 194 197 277 279 332 338 400 407 466 472 541 546 548
== 28 119 121 160 164 305 310 312
== 29 113 116 159 161 217 220 262 265 266 268 285 290 292
== 30 110 112 237 239 474 477 614 617 857 861 1077 1082 1084
== 31 161 164 287 289 762 765 826 831 867 872 901 906 922 927 953 958 960 966 968
== 32 224 226 593 595 629 631 633 636
== 34 168 170
== 37 570 573 986 993 2294 2301 5248 5255 5990 5997 7690 7696 9478 9484 10312 10318 11051 11059 11291 11296 11404 11407 11477 11479 11612 11614 11616 11619 11632 11634 12071 12074
== 40 827 829 1053 1056 1691 1694 1988 1990 2369 2371 3215 3218 3765 3768 4107 4109 4168 4171 4775 4778 5567 5569 7521 7524 8126 8128 8669 8672 8723 8725 9288 9291 10101 10103 10293 10295 10297 10300
== 41 94 97 320 324 333 335 408 410 794 796 833 835 894 896 898 901
== 42 43 45 332 335 503 506 510 512
== 43 132 140 400 406 492 496 650 655 869 872
== 44 891 894 984 986 1126 1128 1524 1526 2122 2125 2214 2217 2247 2249 2551 2553 2739 2742 2770 2773 2783 2785
== 45 1307 1309 1825 1828 2208 2211 2394 2399 2600 2604 3306 3309 4743 4746 5783 5785 5926 5930 6283 6286 6403 6406 6608 6610
== 48 86 89 762 765 773 776
== 49 56 58
== 50 51 54
== 51 143 145
== 52 107 112 292 295 759 761
== 53 876 879 1238 1241 1526 1530 1689 1692 1857 1859 3094 3097 4162 4164 4281 4283 4579 4581 5423 5425 5754 5761 5983 5987 6233 6236 6488 6492 6609 6613 6714 6719 6883 6890 7028 7033 7300 7306 7481 7489 8045 8049 8161 8164 8318 8323 8444 8447 8490 8492 8713 8716 8775 8777 8779 8781 9070 9073
== 54 665 668 826 829 1094 1099 1163 1165 2392 2396 2843 2847 3281 3284 3683 3690 3861 3865 3916 3918 4025 4031 4232 4234 5263 5268 5855 5859 5951 5954 6167 6170 6201 6203 6205 6207 7315 7318
== 55 2 5 155 158 271 273 275 278 284 287
== 56 354 357 405 408 1047 1051 2302 2305 2424 2427 2437 2439 2441 2443
== 57 38 42 367 369 1441 1443 1511 1513 1936 1939 2117 2119 2123 2126 2138 2140
== 58 154 156 235 237 343 346 694 697 742 744 829 832 836 838 840 843
== 60 559 561 715 718 807 810 1174 1177 1238 1241 1244 1247 1250 1253
== 61 56 58 100 103 225 229 325 330 682 684 816 821 892 895 1061 1065 1091 1094 1099 1101 1103 1105
== 63 462 465 612 614 1160 1162 1596 1600 1976 1978 2065 2068 2823 2827 2863 2866 2890 2893 2901 2903 2905 2908
== 64 282 284 291 294 312 314
== 65 144 146 620 624 1886 1890 1899 1901 1969 1973 1999 2001 2023 2026 2039 2041 2043 2045 2074 2077
== 66 396 398 454 456 509 511 806 809 1083 1085 1099 1102 1275 1279 1374 1379 1646 1648 2333 2335 2697 2701 2759 2765 2911 2914 3279 3281 3648 3650 3665 3667 3690 3694 3868 3872 4030 4033 4133 4136 4605 4608 4616 4618 4638 4640 4642 4645 4697 4699 4737 4740 4813 4816 4861 4863 4895 4897 4944 4946 4990 4993
== 67 189 191 291 293
== 68 207 209 283 285 367 370 441 443 447 449
== 69 308 310 473 475 1283 1285 1442 1445 1486 1488 2589 2592 2678 2680 2699 2703
== 70 194 196 341 343 431 433
== 71 204 206
== 72 1264 1266 1454 1457 1946 1948 2087 2089 2656 2659 3055 3058 3448 3451 3734 3738 3753 3755 4655 4657 4736 4740 5030 5032 5172 5174 5337 5340 5627 5630 6019 6021 6166 6169 6523 6526 6556 6558 6560 6562 6613 6616
== 73 416 419 514 516 1952 1954 2143 2145 2286 2289 2454 2456 2711 2713 2752 2754 2876 2878 2926 2928 2930 2932 3088 3091 3101 3104
== 74 156 158
== 75 148 150
== 77 162 164
== 79 178 180
== 80 196 198 223 225 310 313 319 321 344 347
== 82 184 186
== 83 153 155
== 85 149 151
== 86 161 163
== 89 153 155
== 90 186 188
== 92 145 147
== 93 146 148
== 95 144 146
== 96 143 145
== 97 191 193
پانویس 0 52 54
پانویس 1 702
پانویس 4 127
پانویس 7 2708
پانویس 8 98
پانویس 9 2909
پانویس 10 755
پانویس 11 344
پانویس 12 384
پانویس 14 401
پانویس 16 121
پانویس 17 801 803
پانویس 18 231
پانویس 20 1567
پانویس 24 402
پانویس 25 216
پانویس 26 2570
پانویس 27 558
پانویس 28 316
پانویس 29 293
پانویس 30 1085
پانویس 31 961
پانویس 32 632
پانویس 34 171
پانویس 37 2041 11613
پانویس 41 895 897
پانویس 42 522
پانویس 44 2786
پانویس 49 59
پانویس 51 146
پانویس 53 8776
پانویس 54 6202
پانویس 55 274
پانویس 56 2438
پانویس 57 2118
پانویس 58 837 839
پانویس 61 1100 1102
